Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
CRCL,CIRCLE INTERNET GROUP INC CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,-,-,-,2.52
PKG,PACKAGING CORP OF AMERICA,0.0337,-,-,-,-,-,-,-,-,-,2.5802,-,-,-,-,-,-,-
ACHR,ARCHER AVIATION INC CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,-,-,2.18
DOW,DOW INC,0.0333,-,-,-,-,-,-,-,-,-,2.5518,-,-,-,-,-,-,-
SCHW,SCHWAB (CHARLES) CORP,0.2906,-,-,2.2872,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PCG,P G + E CORP,0.0559,-,-,-,-,-,-,-,-,-,-,-,2.4878,-,-,-,-,-
TWST,TWIST BIOSCIENCE CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.52
MDT,MEDTRONIC PLC,0.2165,-,-,-,-,-,-,-,2.2927,-,-,-,-,-,-,-,-,-
KR,KROGER CO,0.0634,-,-,-,-,-,2.4401,-,-,-,-,-,-,-,-,-,-,-
PH,PARKER HANNIFIN CORP,0.196,-,-,-,-,-,-,-,-,2.3024,-,-,-,-,-,-,-,-
ORLY,O REILLY AUTOMOTIVE INC,0.1425,0.44,-,-,-,1.8975,-,-,-,-,-,-,-,-,-,-,-,-
IFF,INTL FLAVORS + FRAGRANCES,0.0316,-,-,-,-,-,-,-,-,-,2.4205,-,-,-,-,-,-,-
DD,DUPONT DE NEMOURS INC,0.0315,-,-,-,-,-,-,-,-,-,2.4129,-,-,-,-,-,-,-
SPGI,S+P GLOBAL INC,0.2739,-,-,2.156,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BLK,BLACKROCK INC,0.2675,-,-,2.1095,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SYK,STRYKER CORP,0.2048,-,-,-,-,-,-,-,2.1664,-,-,-,-,-,-,-,-,-
EQR,EQUITY RESIDENTIAL,0.0362,-,-,-,-,-,-,-,-,-,-,2.3101,-,-,-,-,-,-
DASH,DOORDASH INC   A,0.13,0.44,-,-,-,1.7318,-,-,-,-,-,-,-,-,-,-,-,-
NRG,NRG ENERGY INC,0.0502,-,-,-,-,-,-,-,-,-,-,-,2.2312,-,-,-,-,-
DDOG,DATADOG INC   CLASS A,0.0754,0.23,0.3762,-,-,-,-,-,-,-,-,-,-,1.59,-,-,-,-
CHTR,CHARTER COMMUNICATIONS INC A,0.027,0.12,-,-,2.0909,-,-,-,-,-,-,-,-,-,-,-,-,-
EQT,EQT CORP,0.0569,-,-,-,-,-,-,2.1797,-,-,-,-,-,-,-,-,-,-
KVUE,KENVUE INC,0.0562,-,-,-,-,-,2.1605,-,-,-,-,-,-,-,-,-,-,-
